question,document
Am I too late to enroll if I found this class just now?,74eb249bbf
Started late - is it still possible to sign up?,74eb249bbf
Can I hop in even though the course already started?,74eb249bbf
If I register now will I still be able to earn the certificate?,74eb249bbf
"Missed the beginning, can I still get in and get certified?",74eb249bbf
"I signed up but never got a confirmation email, am I actually enrolled?",977bf7786c
Do I need to wait for an approval email before I start watching the lessons?,977bf7786c
Is there a registration list that gets checked when we submit assignments?,977bf7786c
What's the point of filling out the registration form if there's no confirmation?,977bf7786c
Can I jump straight into the homework without waiting for any sign-up confirmation?,977bf7786c
Where can I find the link to watch the live workshop sessions?,489dd1c9d9
Is there a Zoom link for students to join office hours?,489dd1c9d9
How do I ask questions during the live stream?,489dd1c9d9
Where does the livestream link get posted before sessions start?,489dd1c9d9
Can I participate in office hours through Zoom or is it YouTube only?,489dd1c9d9
Is there a specific order I need to follow for the lessons or can I just jump in whenever?,04919992b3
What's the usual routine for getting through each module in this course?,04919992b3
"I'm new to the course, where exactly should I begin?",04919992b3
How do the homework assignments compare to what's covered in the lectures?,04919992b3
Where can I find all the important dates and due times for assignments?,04919992b3
Where can I find my entry in the rankings? I can't seem to spot myself.,c2903069a0
How do I change the weird random name that got assigned to my profile?,c2903069a0
What should I put in the name fields in my course profile settings?,c2903069a0
Will the auto-generated nickname show up on my certificate if I don't change it?,c2903069a0
Is it possible to stay anonymous on the leaderboard while still participating?,c2903069a0
Is it possible to earn a certificate if I go through the course at my own pace?,69d122f12e
Why can't I get a certificate for completing the course on my own schedule?,69d122f12e
Do I need to join a live cohort to qualify for the certificate?,69d122f12e
Can I still do peer reviews for the capstone projects if I'm not part of a live session?,69d122f12e
What happens if I finish all the coursework but miss the live cohort timing?,69d122f12e
Do I need to complete all the assignments to qualify for the certificate?,9f689c185f
Is it possible to earn the certificate if I skipped some of the earlier assignments?,9f689c185f
What's actually required to pass the course and get certified?,9f689c185f
Are the weekly assignments mandatory or just for practice?,9f689c185f
"If I only do the final project, is that enough to get the certificate?",9f689c185f
"The homework page keeps updating, is it safe to start working on it now?",96286b4be4
How do I know when the assignment is actually finalized and ready to be done?,96286b4be4
Why does it say DRAFT on the homework title?,96286b4be4
"I already submitted the homework but the questions look different now, what happened?",96286b4be4
Is there a way to tell if the homework content is still being modified or if it's the final version?,96286b4be4
Is there another cohort coming up after this one ends?,bd31146b0e
How long do I have to wait if I miss the current enrollment?,bd31146b0e
Do you guys run this course every year or is there a schedule?,bd31146b0e
"I can't join right now, when's the next opportunity to take this?",bd31146b0e
Will this be available again anytime soon?,bd31146b0e
Do you guys have video lessons for this course or is it all text-based?,31456f4b5f
Where can I find the lecture videos?,31456f4b5f
Is there a YouTube playlist with all the course videos?,31456f4b5f
How do I navigate to the video content for each module?,31456f4b5f
Are the lectures hosted somewhere specific or just on GitHub?,31456f4b5f
How do I check what's due and when for the LLM course?,20c5a1347e
Is there a dashboard to see how I'm doing in the zoomcamp?,20c5a1347e
Where can I find all the homework assignments and due dates?,20c5a1347e
How do I keep track of which modules I've completed so far?,20c5a1347e
What's the best way to stay on top of deadlines throughout the program?,20c5a1347e
Do I need to attend live classes for each module or is everything recorded?,d65e05bd7a
Is there any way to get real-time help if I'm stuck on the course material?,d65e05bd7a
What's the deal with AI Shipping Labs - do I need to pay to get office hours?,d65e05bd7a
How do I know when a live session is happening during the course?,d65e05bd7a
"If I can't join any live sessions, will I still be able to complete the course for free?",d65e05bd7a
Does posting on Bluesky count towards the learning in public requirement?,dbf5369006
Can I get credit for learning in public if I share my progress on Bluesky?,dbf5369006
Is Bluesky an okay platform to use for the learning in public credits?,dbf5369006
Do Bluesky posts qualify for learning in public?,dbf5369006
Can I use Bluesky instead of Twitter/X for the learning in public assignment?,dbf5369006
