question,answer_llm,answer_orig,document
Am I too late to enroll if I found this class just now?,"Yes, you can still join! According to the provided context, if you just discovered the course, you can still enroll and participate. 

However, if your goal is to earn a certificate, you need to submit your final project while the course is still accepting submissions.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.",74eb249bbf
Started late - is it still possible to sign up?,"Yes, you can still join! However, if you want to receive a certificate, you need to submit your project while the course is still accepting submissions.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.",74eb249bbf
Can I hop in even though the course already started?,I don't know.,"Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.",74eb249bbf
If I register now will I still be able to earn the certificate?,"Yes, if you register now, you can still earn the certificate as long as you submit your project while submissions are still being accepted. You only need to pass the Capstone project to get the certificate; homework assignments are not mandatory.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.",74eb249bbf
"Missed the beginning, can I still get in and get certified?","Yes, you can still get certified! As long as you are participating in a ""live"" cohort, you just need to pass the Capstone project to get your certificate. 

Missing the beginning or skipping homework will not affect your ability to get certified, as the homework is not mandatory (it is only recommended to reinforce concepts and earn points for the leaderboard rank).","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.",74eb249bbf
"I signed up but never got a confirmation email, am I actually enrolled?","You don't need a confirmation email—you are already accepted and enrolled! 

You can start learning and submitting homework right away (as long as the form is open). Registration is not checked against any list; it is simply used to gauge interest before the start date.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,977bf7786c
Do I need to wait for an approval email before I start watching the lessons?,"No, you don't need to wait for an approval or confirmation email. You are already accepted and can start learning and submitting homework right away. Registration is only to gauge interest before the start date and is not checked against any registered list.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,977bf7786c
Is there a registration list that gets checked when we submit assignments?,"No, it is not checked against any registered list. According to the provided context, registration is only used to gauge interest before the start date, and you can start learning and submitting homework without registering.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,977bf7786c
What's the point of filling out the registration form if there's no confirmation?,"Based on the provided context, the point of filling out the registration form is simply to gauge interest before the course's start date. 

You don't actually need to wait for a confirmation email because you are automatically accepted. You can start learning and submitting homework right away, as your submissions are not checked against a registered list.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,977bf7786c
Can I jump straight into the homework without waiting for any sign-up confirmation?,"Yes. You don't need to wait for a confirmation email. You are automatically accepted, and you can start learning and submitting homework right away (as long as the form is open). Registration is just to gauge interest before the start date, and your submissions are not checked against any registered list.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,977bf7786c
Where can I find the link to watch the live workshop sessions?,"Based on the context provided, you can find the link to watch the live workshop sessions in the following places:

*   **Telegram and Slack:** The video URL will be posted in the announcements channel before the session begins. ([Telegram Link](https://t.me/dezoomcamp))
*   **YouTube:** You can watch the sessions live directly on the [DataTalksClub YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Please note that the direct Zoom link is restricted to instructors, presenters, and TAs. Students participate via the YouTube Live stream and submit questions using Slido (a link to which is pinned in the YouTube chat when the stream is live).","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.",489dd1c9d9
Is there a Zoom link for students to join office hours?,"Based on the provided context, there is no direct Zoom link for students to join office hours or live/workshop sessions. The Zoom link is only published to instructors, presenters, and TAs. 

Instead, students participate via **YouTube Live** and submit their questions using **Slido** (the link is pinned in the chat when it is live). You can find the video URL posted in the announcements channel on Telegram and Slack before the session begins, or watch directly on the DataTalksClub YouTube channel.","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.",489dd1c9d9
How do I ask questions during the live stream?,"Based on the provided context, you should submit your questions using **Slido**. 

The link to Slido will be pinned in the chat when the stream is live. You should avoid posting your questions directly in the chat, as they might be missed if the room is very active.","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.",489dd1c9d9
Where does the livestream link get posted before sessions start?,The livestream link gets posted in the **announcements channel on Telegram and Slack** before sessions begin. You can also watch live directly on the DataTalksClub YouTube Channel.,"The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.",489dd1c9d9
Can I participate in office hours through Zoom or is it YouTube only?,"Based on the provided context, you can only participate in office hours or live/workshop sessions through **YouTube Live**. 

The Zoom link is restricted and only published to instructors, presenters, and TAs. To ask questions during the session, you should submit them via Slido (the link will be pinned in the chat when it is live). Avoid posting your questions directly in the chat, as they might be missed if the room is very active.","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.",489dd1c9d9
